time_s,throughput_Mbps
0,85.5526620643418
1,89.8372738923335
2,87.97749876990089
3,89.66220292680721
4,89.42528767618151
5,87.16691434367885
6,92.16333976345518
7,98.0
8,98.0
9,92.2123033379282
10,86.98267729396963
11,89.22041410103297
12,89.5441722959145
13,87.66651501334019
14,83.06890775145169
15,82.0
16,91.22728322716553
17,90.99577689496773
18,91.13408819928152
19,90.35956018043147
20,86.60391842629167
21,90.34991319182373
22,92.33299993904217
23,98.0
24,95.82132782145008
25,92.21690075535297
26,91.21696326085079
27,87.68373528356098
28,92.09096964252906
29,90.00258342511566
30,84.96851873223927
31,82.89577957790686
32,89.4896830685458
33,86.10198650123245
34,90.75029131950294
35,93.92217846220208
36,87.08790691704863
37,88.20602350727755
38,90.7178034154002
39,95.89748123442698
40,93.2562903772351
41,92.15036678242686
42,87.41665978312992
43,90.49515118735988
44,87.82467760012466
45,91.74303584790562
46,82.02008432926444
47,82.0
48,88.5707196073249
49,87.21770783505444
50,90.31858201358426
51,92.64375076174916
52,86.3606337084351
53,89.89462452831663
54,91.94013469890623
55,97.31834258725547
56,93.25734851766877
57,90.41906440467838
58,91.9015265390211
59,90.63850760954233
60,90.73309919797508
61,89.37081511855916
62,82.0883722134397
63,84.027651403983
64,87.40589648229593
65,87.37566166871476
66,93.5583660313748
67,90.7761576297857
68,87.29850425239393
69,90.99254368519001
70,87.738447021852
71,96.39350204846426
72,98.0
73,91.70165062433142
74,92.1404431881266
75,89.95232129243439
76,91.31434550408866
77,93.31796582221509
78,88.95754075091111
79,88.33441769026196
80,89.1899873438469
81,93.99914263688297
82,97.85977012974523
83,93.93264811281567
84,91.6270714815612
85,91.06165139850606
86,89.01459396497695
87,90.62952550463609
88,82.08255594113346
89,86.78356294157368
