time_s,throughput_Mbps
0,72.31433506044905
1,70.28785261945883
2,64.05641911341394
3,70.36238027947871
4,71.3714345527817
5,71.54672807522549
6,71.61092793217145
7,69.81137802899461
8,69.49875263864901
9,75.08525671219972
10,72.833516512273
11,70.59796584148916
12,70.51813471502591
13,70.44863139163658
14,72.11168681635003
15,75.80624901868424
16,73.5051028418904
17,71.10458645173671
18,71.48029517977704
19,71.42419008740252
20,71.34715025906735
21,69.44795101271785
22,63.353430679855556
23,69.38514680483594
24,69.96796985398021
25,70.73585596901658
26,70.66705047015928
27,70.7919610613911
28,71.66340433697947
29,75.28790495629873
30,67.30255927147118
31,69.82882364229515
32,70.65630397236615
33,70.65630397236615
34,70.69007867971598
35,70.99544669492856
36,72.81928089181974
37,74.87353674918442
38,72.57895012299157
39,70.17145548751766
40,69.75052772980234
41,70.08185481760611
42,70.37996545768567
43,70.00383803492612
44,66.69796409692785
45,65.75757575757576
46,69.53866820188064
47,71.30276861883078
48,71.14115245721463
49,70.96795240836691
50,69.51745433610719
51,69.37258596325954
52,76.64670888505087
53,72.27832731459672
54,71.62348877374784
55,71.23200921128381
56,71.07416130214058
57,71.97351755900979
58,76.69304443397708
59,72.84105301721883
60,70.42602187679908
61,70.07431831266028
62,70.7492542000314
63,70.96027633851467
64,69.14565342544617
65,64.30051813471502
66,65.70523891767412
67,70.93347987648505
68,71.56235934474276
69,71.1629245826137
70,70.86146438478045
71,72.99010833725859
72,76.85549798503168
73,72.2950751033652
74,69.6740461610928
75,70.42602187679908
76,70.76851415711519
77,71.0389909457267
78,70.96488198042603
79,71.49369341079186
80,74.41618255089759
81,67.25734024179623
82,66.4785680640603
83,70.4695661275972
84,70.38457109959701
85,70.25854398911393
86,70.74534638265207
87,70.09106610142881
88,68.92039566650963
89,72.38341968911921
